doctor_id,doctor_name,department_id,experience_years
DR001,Doctor 1,D001,3
DR002,Doctor 2,D002,17
DR003, Doctor 3 ,D003,15
DR004,Doctor 4,D004,10
DR005,Doctor 5,D005,10
DR006,Doctor 6,D006,19
DR007,Doctor 7,D007,3
DR008,Doctor 8,D008,15
DR009,Doctor 9,D001,6
DR010,Doctor 10,D002,3
DR011,Doctor 11,D003,12
DR012,Doctor 12,D004,21
DR013,Doctor 13,D005,16
DR014,Doctor 14,D006,17
DR015,Doctor 15,D007,16
DR016,Doctor 16,D008,17
DR017,Doctor 17,D001,12
DR018,Doctor 18,D002,4
DR019,Doctor 19,D003,18
DR020,Doctor 20,D004,11
DR021,Doctor 21,D005,12
DR022,Doctor 22,D006,9
DR023,Doctor 23,D007,5
DR024,Doctor 24,D008,20
DR025,Doctor 25,D001,17
DR026,Doctor 26,D002,14
DR027,Doctor 27,D003,10
DR028,Doctor 28,D004,18
DR029,Doctor 29,D005,12
DR030,Doctor 30,D006,10
